holidayname,YEAR,MONTH,DAY
New Years Day,2003,1,1
New Years Day,2004,1,1
New Years Day,2005,1,1
New Years Day,2006,1,1
New Years Day,2007,1,1
New Years Day,2008,1,1
New Years Day,2009,1,1
New Years Day,2010,1,1
New Years Day,2011,1,1
New Years Day,2012,1,1
New Years Day,2013,1,1
New Years Day,2014,1,1
New Years Day,2015,1,1
New Years Day,2016,1,1
New Years Day,2017,1,1
New Years Day,2018,1,1
New Years Day,2019,1,1
New Years Day,2020,1,1
New Years Day,2021,1,1
Canada Day,2003,7,1
Canada Day,2004,7,1
Canada Day,2005,7,1
Canada Day,2006,7,1
Canada Day,2007,7,1
Canada Day,2008,7,1
Canada Day,2009,7,1
Canada Day,2010,7,1
Canada Day,2011,7,1
Canada Day,2012,7,1
Canada Day,2013,7,1
Canada Day,2014,7,1
Canada Day,2015,7,1
Canada Day,2016,7,1
Canada Day,2017,7,1
Canada Day,2018,7,1
Canada Day,2019,7,1
Canada Day,2020,7,1
Canada Day,2021,7,1
Rememberance Day,2003,11,11
Rememberance Day,2004,11,11
Rememberance Day,2005,11,11
Rememberance Day,2006,11,11
Rememberance Day,2007,11,11
Rememberance Day,2008,11,11
Rememberance Day,2009,11,11
Rememberance Day,2010,11,11
Rememberance Day,2011,11,11
Rememberance Day,2012,11,11
Rememberance Day,2013,11,11
Rememberance Day,2014,11,11
Rememberance Day,2015,11,11
Rememberance Day,2016,11,11
Rememberance Day,2017,11,11
Rememberance Day,2018,11,11
Rememberance Day,2019,11,11
Rememberance Day,2020,11,11
Rememberance Day,2021,11,11
Christmas Day,2003,12,25
Christmas Day,2004,12,25
Christmas Day,2005,12,25
Christmas Day,2006,12,25
Christmas Day,2007,12,25
Christmas Day,2008,12,25
Christmas Day,2009,12,25
Christmas Day,2010,12,25
Christmas Day,2011,12,25
Christmas Day,2012,12,25
Christmas Day,2013,12,25
Christmas Day,2014,12,25
Christmas Day,2015,12,25
Christmas Day,2016,12,25
Christmas Day,2017,12,25
Christmas Day,2018,12,25
Christmas Day,2019,12,25
Christmas Day,2020,12,25
Christmas Day,2021,12,25
BC Family Day,2003,2,17
BC Family Day,2004,2,16
BC Family Day,2005,2,21
BC Family Day,2006,2,20
BC Family Day,2007,2,19
BC Family Day,2008,2,18
BC Family Day,2009,2,16
BC Family Day,2010,2,15
BC Family Day,2011,2,21
BC Family Day,2012,2,20
BC Family Day,2013,2,11
BC Family Day,2014,2,10
BC Family Day,2015,2,9
BC Family Day,2016,2,8
BC Family Day,2017,2,13
BC Family Day,2018,2,12
BC Family Day,2019,2,18
BC Family Day,2020,2,17
BC Family Day,2021,2,15
Good Friday,2003,4,18
Good Friday,2004,4,9
Good Friday,2005,3,25
Good Friday,2006,4,14
Good Friday,2007,4,6
Good Friday,2008,3,21
Good Friday,2009,4,10
Good Friday,2010,4,2
Good Friday,2011,4,22
Good Friday,2012,4,6
Good Friday,2013,3,29
Good Friday,2014,4,18
Good Friday,2015,4,3
Good Friday,2016,3,25
Good Friday,2017,4,14
Good Friday,2018,3,30
Good Friday,2019,4,19
Good Friday,2020,4,10
Good Friday,2021,4,2
Easter Monday,2003,4,21
Easter Monday,2004,4,12
Easter Monday,2005,3,28
Easter Monday,2006,4,17
Easter Monday,2007,4,9
Easter Monday,2008,3,24
Easter Monday,2009,4,13
Easter Monday,2010,4,5
Easter Monday,2011,4,25
Easter Monday,2012,4,9
Easter Monday,2013,4,1
Easter Monday,2014,4,21
Easter Monday,2015,4,6
Easter Monday,2016,3,28
Easter Monday,2017,4,17
Easter Monday,2018,4,2
Easter Monday,2019,4,22
Easter Monday,2020,4,13
Easter Monday,2021,4,5
Victoria Day,2003,5,19
Victoria Day,2004,5,24
Victoria Day,2005,5,23
Victoria Day,2006,5,22
Victoria Day,2007,5,21
Victoria Day,2008,5,19
Victoria Day,2009,5,18
Victoria Day,2010,5,24
Victoria Day,2011,5,23
Victoria Day,2012,5,21
Victoria Day,2013,5,20
Victoria Day,2014,5,19
Victoria Day,2015,5,18
Victoria Day,2016,5,23
Victoria Day,2017,5,22
Victoria Day,2018,5,21
Victoria Day,2019,5,20
Victoria Day,2020,5,18
Victoria Day,2021,5,24
BC Day,2003,8,4
BC Day,2004,8,2
BC Day,2005,8,1
BC Day,2006,8,7
BC Day,2007,8,6
BC Day,2008,8,4
BC Day,2009,8,3
BC Day,2010,8,2
BC Day,2011,8,1
BC Day,2012,8,6
BC Day,2013,8,5
BC Day,2014,8,4
BC Day,2015,8,3
BC Day,2016,8,1
BC Day,2017,8,7
BC Day,2018,8,6
BC Day,2019,8,5
BC Day,2020,8,3
BC Day,2021,8,2
Labour Day,2003,9,1
Labour Day,2004,9,6
Labour Day,2005,9,5
Labour Day,2006,9,4
Labour Day,2007,9,3
Labour Day,2008,9,1
Labour Day,2009,9,7
Labour Day,2010,9,6
Labour Day,2011,9,5
Labour Day,2012,9,3
Labour Day,2013,9,2
Labour Day,2014,9,1
Labour Day,2015,9,7
Labour Day,2016,9,5
Labour Day,2017,9,4
Labour Day,2018,9,3
Labour Day,2019,9,2
Labour Day,2020,9,7
Labour Day,2021,9,6
Thanksgiving Day,2003,10,13
Thanksgiving Day,2004,10,11
Thanksgiving Day,2005,10,10
Thanksgiving Day,2006,10,9
Thanksgiving Day,2007,10,8
Thanksgiving Day,2008,10,13
Thanksgiving Day,2009,10,12
Thanksgiving Day,2010,10,11
Thanksgiving Day,2011,10,10
Thanksgiving Day,2012,10,8
Thanksgiving Day,2013,10,14
Thanksgiving Day,2014,10,13
Thanksgiving Day,2015,10,12
Thanksgiving Day,2016,10,10
Thanksgiving Day,2017,10,9
Thanksgiving Day,2018,10,8
Thanksgiving Day,2019,10,14
Thanksgiving Day,2020,10,12
Thanksgiving Day,2021,10,11